,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
13815,,,UNKNOWN,,,,,U,,
13816,,,UNKNOWN,,,,,U,,
13817,,,UNKNOWN,,,,,U,,
13818,,,UNKNOWN,,,,,U,,
13819,,,UNKNOWN,,,,,U,,
13820,,,UNKNOWN,,,,,U,,
13821,,,UNKNOWN,,,,,U,,
13822,,,UNKNOWN,,,,,U,,
13823,,,UNKNOWN,,,,,U,,
13824,,,UNKNOWN,,,,,U,,
13825,,,UNKNOWN,,,,,U,,
13826,,,UNKNOWN,,,,,U,,
13827,,,UNKNOWN,,,,,U,,
13828,,,UNKNOWN,,,,,U,,
13829,,,UNKNOWN,,,,,U,,
13830,,,UNKNOWN,,,,,U,,
13831,,,UNKNOWN,,,,,U,,
13832,,,UNKNOWN,,,,,U,,
13833,,,UNKNOWN,,,,,U,,
13834,,,UNKNOWN,,,,,U,,
13835,,,UNKNOWN,,,,,U,,
13836,,,UNKNOWN,,,,,U,,
13837,,,UNKNOWN,,,,,U,,
13838,,,UNKNOWN,,,,,U,,
13839,,,UNKNOWN,,,,,U,,
13840,,,UNKNOWN,,,,,U,,
13841,,,UNKNOWN,,,,,U,,
13842,,,UNKNOWN,,,,,U,,
13843,,,UNKNOWN,,,,,U,,
13844,,,UNKNOWN,,,,,U,,
13845,,,UNKNOWN,,,,,U,,
13846,,,UNKNOWN,,,,,U,,
13847,,,UNKNOWN,,,,,U,,
13848,,,UNKNOWN,,,,,U,,
13849,,,UNKNOWN,,,,,U,,
13850,,,UNKNOWN,,,,,U,,
13851,,,UNKNOWN,,,,,U,,
13852,,,UNKNOWN,,,,,U,,
13853,,,UNKNOWN,,,,,U,,
13854,,,UNKNOWN,,,,,U,,
13855,,,UNKNOWN,,,,,U,,
13856,,,UNKNOWN,,,,,U,,
13857,,,UNKNOWN,,,,,U,,
13858,,,UNKNOWN,,,,,U,,
13859,,,UNKNOWN,,,,,U,,
13860,,,UNKNOWN,,,,,U,,
13861,,,UNKNOWN,,,,,U,,
13862,,,UNKNOWN,,,,,U,,
13863,,,UNKNOWN,,,,,U,,
13864,,,UNKNOWN,,,,,U,,
13865,,,UNKNOWN,,,,,U,,
13866,,,UNKNOWN,,,,,U,,
13867,,,UNKNOWN,,,,,U,,
13868,,,UNKNOWN,,,,,U,,
13869,,,UNKNOWN,,,,,U,,
13870,,,UNKNOWN,,,,,U,,
13871,,,UNKNOWN,,,,,U,,
13872,,,UNKNOWN,,,,,U,,
13873,,,UNKNOWN,,,,,U,,
13874,,,UNKNOWN,,,,,U,,
13875,,,UNKNOWN,,,,,U,,
13876,,,UNKNOWN,,,,,U,,
13877,,,UNKNOWN,,,,,U,,
13878,,,UNKNOWN,,,,,U,,
13879,,,UNKNOWN,,,,,U,,
13880,,,UNKNOWN,,,,,U,,
13881,,,UNKNOWN,,,,,U,,
13882,,,UNKNOWN,,,,,U,,
13883,,,UNKNOWN,,,,,U,,
13884,,,UNKNOWN,,,,,U,,
13885,,,UNKNOWN,,,,,U,,
13886,,,UNKNOWN,,,,,U,,
13887,,,UNKNOWN,,,,,U,,
13888,,,UNKNOWN,,,,,U,,
13889,,,UNKNOWN,,,,,U,,
13890,,,UNKNOWN,,,,,U,,
13891,,,UNKNOWN,,,,,U,,
13892,,,UNKNOWN,,,,,U,,
13893,,,UNKNOWN,,,,,U,,
13894,,,UNKNOWN,,,,,U,,
13895,,,UNKNOWN,,,,,U,,
13896,,,UNKNOWN,,,,,U,,
13897,,,UNKNOWN,,,,,U,,
13898,,,UNKNOWN,,,,,U,,
13899,,,UNKNOWN,,,,,U,,
13900,,,UNKNOWN,,,,,U,,
13901,,,UNKNOWN,,,,,U,,
13902,,,UNKNOWN,,,,,U,,
13903,,,UNKNOWN,,,,,U,,
13904,,,UNKNOWN,,,,,U,,
13905,,,UNKNOWN,,,,,U,,
13906,,,UNKNOWN,,,,,U,,
13907,,,UNKNOWN,,,,,U,,
13908,,,UNKNOWN,,,,,U,,
13909,,,UNKNOWN,,,,,U,,
13910,,,UNKNOWN,,,,,U,,
13911,,,UNKNOWN,,,,,U,,
13912,,,UNKNOWN,,,,,U,,
13913,,,UNKNOWN,,,,,U,,
13914,,,UNKNOWN,,,,,U,,
13915,,,UNKNOWN,,,,,U,,
13916,,,UNKNOWN,,,,,U,,
13917,,,UNKNOWN,,,,,U,,
13918,,,UNKNOWN,,,,,U,,
13919,,,UNKNOWN,,,,,U,,
13920,,,UNKNOWN,,,,,U,,
13921,,,UNKNOWN,,,,,U,,
13922,,,UNKNOWN,,,,,U,,
13923,,,UNKNOWN,,,,,U,,
13924,,,UNKNOWN,,,,,U,,
13925,,,UNKNOWN,,,,,U,,
13926,,,UNKNOWN,,,,,U,,
13927,,,UNKNOWN,,,,,U,,
13928,,,UNKNOWN,,,,,U,,
13929,,,UNKNOWN,,,,,U,,
13930,,,UNKNOWN,,,,,U,,
13931,,,UNKNOWN,,,,,U,,
13932,,,UNKNOWN,,,,,U,,
13933,,,UNKNOWN,,,,,U,,
13934,,,UNKNOWN,,,,,U,,
13935,,,UNKNOWN,,,,,U,,
13936,,,UNKNOWN,,,,,U,,
13937,,,UNKNOWN,,,,,U,,
13938,,,UNKNOWN,,,,,U,,
13939,,,UNKNOWN,,,,,U,,
13940,,,UNKNOWN,,,,,U,,
13941,,,UNKNOWN,,,,,U,,
13942,,,UNKNOWN,,,,,U,,
13943,,,UNKNOWN,,,,,U,,
13944,,,UNKNOWN,,,,,U,,
13945,,,UNKNOWN,,,,,U,,
13946,,,UNKNOWN,,,,,U,,
13947,,,UNKNOWN,,,,,U,,
13948,,,UNKNOWN,,,,,U,,
13949,,,UNKNOWN,,,,,U,,
13950,,,UNKNOWN,,,,,U,,
13951,,,UNKNOWN,,,,,U,,
13952,,,UNKNOWN,,,,,U,,
13953,,,UNKNOWN,,,,,U,,
13954,,,UNKNOWN,,,,,U,,
13955,,,UNKNOWN,,,,,U,,
13956,,,UNKNOWN,,,,,U,,
13957,,,UNKNOWN,,,,,U,,
13958,,,UNKNOWN,,,,,U,,
13959,,,UNKNOWN,,,,,U,,
13960,,,UNKNOWN,,,,,U,,
13961,,,UNKNOWN,,,,,U,,
13962,,,UNKNOWN,,,,,U,,
13963,,,UNKNOWN,,,,,U,,
13964,,,UNKNOWN,,,,,U,,
13965,,,UNKNOWN,,,,,U,,
13966,,,UNKNOWN,,,,,U,,
13967,,,UNKNOWN,,,,,U,,
13968,,,UNKNOWN,,,,,U,,
13969,,,UNKNOWN,,,,,U,,
13970,,,UNKNOWN,,,,,U,,
13971,,,UNKNOWN,,,,,U,,
13972,,,UNKNOWN,,,,,U,,
13973,,,UNKNOWN,,,,,U,,
13974,,,UNKNOWN,,,,,U,,
13975,,,UNKNOWN,,,,,U,,
13976,,,UNKNOWN,,,,,U,,
13977,,,UNKNOWN,,,,,U,,
13978,,,UNKNOWN,,,,,U,,
13979,,,UNKNOWN,,,,,U,,
13980,,,UNKNOWN,,,,,U,,
13981,,,UNKNOWN,,,,,U,,
13982,,,UNKNOWN,,,,,U,,
13983,,,UNKNOWN,,,,,U,,
13984,,,UNKNOWN,,,,,U,,
13985,,,UNKNOWN,,,,,U,,
13986,,,UNKNOWN,,,,,U,,
13987,,,UNKNOWN,,,,,U,,
13988,,,UNKNOWN,,,,,U,,
13989,,,UNKNOWN,,,,,U,,
13990,,,UNKNOWN,,,,,U,,
13991,,,UNKNOWN,,,,,U,,
13992,,,UNKNOWN,,,,,U,,
13993,,,UNKNOWN,,,,,U,,
13994,,,UNKNOWN,,,,,U,,
13995,,,UNKNOWN,,,,,U,,
13996,,,UNKNOWN,,,,,U,,
13997,,,UNKNOWN,,,,,U,,
13998,,,UNKNOWN,,,,,U,,
13999,,,UNKNOWN,,,,,U,,
14000,,,UNKNOWN,,,,,U,,
14001,,,UNKNOWN,,,,,U,,
14002,,,UNKNOWN,,,,,U,,
14003,,,UNKNOWN,,,,,U,,
14004,,,UNKNOWN,,,,,U,,
14005,,,UNKNOWN,,,,,U,,
14006,,,UNKNOWN,,,,,U,,
14007,,,UNKNOWN,,,,,U,,
14008,,,UNKNOWN,,,,,U,,
14009,,,UNKNOWN,,,,,U,,
14010,,,UNKNOWN,,,,,U,,
14011,,,UNKNOWN,,,,,U,,
14012,,,UNKNOWN,,,,,U,,
14013,,,UNKNOWN,,,,,U,,
14014,,,UNKNOWN,,,,,U,,
14015,,,UNKNOWN,,,,,U,,
14016,,,UNKNOWN,,,,,U,,
14017,,,UNKNOWN,,,,,U,,
14018,,,UNKNOWN,,,,,U,,
14019,,,UNKNOWN,,,,,U,,
14020,,,UNKNOWN,,,,,U,,
14021,,,UNKNOWN,,,,,U,,
14022,,,UNKNOWN,,,,,U,,
14023,,,UNKNOWN,,,,,U,,
14024,,,UNKNOWN,,,,,U,,
14025,,,UNKNOWN,,,,,U,,
14026,,,UNKNOWN,,,,,U,,
14027,,,UNKNOWN,,,,,U,,
14028,,,UNKNOWN,,,,,U,,
14029,,,UNKNOWN,,,,,U,,
14030,,,UNKNOWN,,,,,U,,
14031,,,UNKNOWN,,,,,U,,
14032,,,UNKNOWN,,,,,U,,
14033,,,UNKNOWN,,,,,U,,
14034,,,UNKNOWN,,,,,U,,
14035,,,UNKNOWN,,,,,U,,
14036,,,UNKNOWN,,,,,U,,
14037,,,UNKNOWN,,,,,U,,
14038,,,UNKNOWN,,,,,U,,
14039,,,UNKNOWN,,,,,U,,
14040,,,UNKNOWN,,,,,U,,
14041,,,UNKNOWN,,,,,U,,
14042,,,UNKNOWN,,,,,U,,
14043,,,UNKNOWN,,,,,U,,
14044,,,UNKNOWN,,,,,U,,
14045,,,UNKNOWN,,,,,U,,
14046,,,UNKNOWN,,,,,U,,
14047,,,UNKNOWN,,,,,U,,
14048,,,UNKNOWN,,,,,U,,
14049,,,UNKNOWN,,,,,U,,
14050,,,UNKNOWN,,,,,U,,
14051,,,UNKNOWN,,,,,U,,
14052,,,UNKNOWN,,,,,U,,
14053,,,UNKNOWN,,,,,U,,
14054,,,UNKNOWN,,,,,U,,
14055,,,UNKNOWN,,,,,U,,
14056,,,UNKNOWN,,,,,U,,
14057,,,UNKNOWN,,,,,U,,
14058,,,UNKNOWN,,,,,U,,
14059,,,UNKNOWN,,,,,U,,
14060,,,UNKNOWN,,,,,U,,
14061,,,UNKNOWN,,,,,U,,
14062,,,UNKNOWN,,,,,U,,
14063,,,UNKNOWN,,,,,U,,
14064,,,UNKNOWN,,,,,U,,
14065,,,UNKNOWN,,,,,U,,
14066,,,UNKNOWN,,,,,U,,
14067,,,UNKNOWN,,,,,U,,
14068,,,UNKNOWN,,,,,U,,
14069,,,UNKNOWN,,,,,U,,
14070,,,UNKNOWN,,,,,U,,
14071,,,UNKNOWN,,,,,U,,
14072,,,UNKNOWN,,,,,U,,
14073,,,UNKNOWN,,,,,U,,
14074,,,UNKNOWN,,,,,U,,
14075,,,UNKNOWN,,,,,U,,
14076,,,UNKNOWN,,,,,U,,
14077,,,UNKNOWN,,,,,U,,
14078,,,UNKNOWN,,,,,U,,
14079,,,UNKNOWN,,,,,U,,
14080,,,UNKNOWN,,,,,U,,
14081,,,UNKNOWN,,,,,U,,
14082,,,UNKNOWN,,,,,U,,
14083,,,UNKNOWN,,,,,U,,
14084,,,UNKNOWN,,,,,U,,
14085,,,UNKNOWN,,,,,U,,
14086,,,UNKNOWN,,,,,U,,
14087,,,UNKNOWN,,,,,U,,
14088,,,UNKNOWN,,,,,U,,
14089,,,UNKNOWN,,,,,U,,
14090,,,UNKNOWN,,,,,U,,
14091,,,UNKNOWN,,,,,U,,
14092,,,UNKNOWN,,,,,U,,
14093,,,UNKNOWN,,,,,U,,
14094,,,UNKNOWN,,,,,U,,
14095,,,UNKNOWN,,,,,U,,
14096,,,UNKNOWN,,,,,U,,
14097,,,UNKNOWN,,,,,U,,
14098,,,UNKNOWN,,,,,U,,
14099,,,UNKNOWN,,,,,U,,
14100,,,UNKNOWN,,,,,U,,
14101,,,UNKNOWN,,,,,U,,
14102,,,UNKNOWN,,,,,U,,
14103,,,UNKNOWN,,,,,U,,
14104,,,UNKNOWN,,,,,U,,
14105,,,UNKNOWN,,,,,U,,
14106,,,UNKNOWN,,,,,U,,
14107,,,UNKNOWN,,,,,U,,
14108,,,UNKNOWN,,,,,U,,
14109,,,UNKNOWN,,,,,U,,
14110,,,UNKNOWN,,,,,U,,
14111,,,UNKNOWN,,,,,U,,
14112,,,UNKNOWN,,,,,U,,
14113,,,UNKNOWN,,,,,U,,
14114,,,UNKNOWN,,,,,U,,
14115,,,UNKNOWN,,,,,U,,
14116,,,UNKNOWN,,,,,U,,
14117,,,UNKNOWN,,,,,U,,
14118,,,UNKNOWN,,,,,U,,
14119,,,UNKNOWN,,,,,U,,
14120,,,UNKNOWN,,,,,U,,
14121,,,UNKNOWN,,,,,U,,
14122,,,UNKNOWN,,,,,U,,
14123,,,UNKNOWN,,,,,U,,
14124,,,UNKNOWN,,,,,U,,
14125,,,UNKNOWN,,,,,U,,
14126,,,UNKNOWN,,,,,U,,
14127,,,UNKNOWN,,,,,U,,
14128,,,UNKNOWN,,,,,U,,
14129,,,UNKNOWN,,,,,U,,
14130,,,UNKNOWN,,,,,U,,
14131,,,UNKNOWN,,,,,U,,
14132,,,UNKNOWN,,,,,U,,
14133,,,UNKNOWN,,,,,U,,
14134,,,UNKNOWN,,,,,U,,
14135,,,UNKNOWN,,,,,U,,
14136,,,UNKNOWN,,,,,U,,
14137,,,UNKNOWN,,,,,U,,
14138,,,UNKNOWN,,,,,U,,
14139,,,UNKNOWN,,,,,U,,
14140,,,UNKNOWN,,,,,U,,
14141,,,UNKNOWN,,,,,U,,
14142,,,UNKNOWN,,,,,U,,
14143,,,UNKNOWN,,,,,U,,
14144,,,UNKNOWN,,,,,U,,
14145,,,UNKNOWN,,,,,U,,
14146,,,UNKNOWN,,,,,U,,
14147,,,UNKNOWN,,,,,U,,
14148,,,UNKNOWN,,,,,U,,
14149,,,UNKNOWN,,,,,U,,
14150,,,UNKNOWN,,,,,U,,
14151,,,UNKNOWN,,,,,U,,
14152,,,UNKNOWN,,,,,U,,
14153,,,UNKNOWN,,,,,U,,
14154,,,UNKNOWN,,,,,U,,
14155,,,UNKNOWN,,,,,U,,
14156,,,UNKNOWN,,,,,U,,
14157,,,UNKNOWN,,,,,U,,
14158,,,UNKNOWN,,,,,U,,
14159,,,UNKNOWN,,,,,U,,
14160,,,UNKNOWN,,,,,U,,
14161,,,UNKNOWN,,,,,U,,
14162,,,UNKNOWN,,,,,U,,
14163,,,UNKNOWN,,,,,U,,
14164,,,UNKNOWN,,,,,U,,
14165,,,UNKNOWN,,,,,U,,
14166,,,UNKNOWN,,,,,U,,
14167,,,UNKNOWN,,,,,U,,
14168,,,UNKNOWN,,,,,U,,
14169,,,UNKNOWN,,,,,U,,
14170,,,UNKNOWN,,,,,U,,
14171,,,UNKNOWN,,,,,U,,
14172,,,UNKNOWN,,,,,U,,
14173,,,UNKNOWN,,,,,U,,
14174,,,UNKNOWN,,,,,U,,
14175,,,UNKNOWN,,,,,U,,
14176,,,UNKNOWN,,,,,U,,
14177,,,UNKNOWN,,,,,U,,
14178,,,UNKNOWN,,,,,U,,
14179,,,UNKNOWN,,,,,U,,
14180,,,UNKNOWN,,,,,U,,
14181,,,UNKNOWN,,,,,U,,
14182,,,UNKNOWN,,,,,U,,
14183,,,UNKNOWN,,,,,U,,
14184,,,UNKNOWN,,,,,U,,
14185,,,UNKNOWN,,,,,U,,
14186,,,UNKNOWN,,,,,U,,
14187,,,UNKNOWN,,,,,U,,
14188,,,UNKNOWN,,,,,U,,
14189,,,UNKNOWN,,,,,U,,
14190,,,UNKNOWN,,,,,U,,
14191,,,UNKNOWN,,,,,U,,
14192,,,UNKNOWN,,,,,U,,
14193,,,UNKNOWN,,,,,U,,
14194,,,UNKNOWN,,,,,U,,
14195,,,UNKNOWN,,,,,U,,
14196,,,UNKNOWN,,,,,U,,
14197,,,UNKNOWN,,,,,U,,
14198,,,UNKNOWN,,,,,U,,
14199,,,UNKNOWN,,,,,U,,
14200,,,UNKNOWN,,,,,U,,
14201,,,UNKNOWN,,,,,U,,
14202,,,UNKNOWN,,,,,U,,
14203,,,UNKNOWN,,,,,U,,
14204,,,UNKNOWN,,,,,U,,
14205,,,UNKNOWN,,,,,U,,
14206,,,UNKNOWN,,,,,U,,
14207,,,UNKNOWN,,,,,U,,
14208,,,UNKNOWN,,,,,U,,
14209,,,UNKNOWN,,,,,U,,
14210,,,UNKNOWN,,,,,U,,
14211,,,UNKNOWN,,,,,U,,
14212,,,UNKNOWN,,,,,U,,
14213,,,UNKNOWN,,,,,U,,
14214,,,UNKNOWN,,,,,U,,
14215,,,UNKNOWN,,,,,U,,
14216,,,UNKNOWN,,,,,U,,
14217,,,UNKNOWN,,,,,U,,
14218,,,UNKNOWN,,,,,U,,
14219,,,UNKNOWN,,,,,U,,
14220,,,UNKNOWN,,,,,U,,
14221,,,UNKNOWN,,,,,U,,
14222,,,UNKNOWN,,,,,U,,
14223,,,UNKNOWN,,,,,U,,
14224,,,UNKNOWN,,,,,U,,
14225,,,UNKNOWN,,,,,U,,
14226,,,UNKNOWN,,,,,U,,
14227,,,UNKNOWN,,,,,U,,
14228,,,UNKNOWN,,,,,U,,
14229,,,UNKNOWN,,,,,U,,
14230,,,UNKNOWN,,,,,U,,
14231,,,UNKNOWN,,,,,U,,
14232,,,UNKNOWN,,,,,U,,
14233,,,UNKNOWN,,,,,U,,
14234,,,UNKNOWN,,,,,U,,
14235,,,UNKNOWN,,,,,U,,
14236,,,UNKNOWN,,,,,U,,
14237,,,UNKNOWN,,,,,U,,
14238,,,UNKNOWN,,,,,U,,
14239,,,UNKNOWN,,,,,U,,
14240,,,UNKNOWN,,,,,U,,
14241,,,UNKNOWN,,,,,U,,
14242,,,UNKNOWN,,,,,U,,
14243,,,UNKNOWN,,,,,U,,
14244,,,UNKNOWN,,,,,U,,
14245,,,UNKNOWN,,,,,U,,
14246,,,UNKNOWN,,,,,U,,
14247,,,UNKNOWN,,,,,U,,
14248,,,UNKNOWN,,,,,U,,
14249,,,UNKNOWN,,,,,U,,
14250,,,UNKNOWN,,,,,U,,
14251,,,UNKNOWN,,,,,U,,
14252,,,UNKNOWN,,,,,U,,
14253,,,UNKNOWN,,,,,U,,
14254,,,UNKNOWN,,,,,U,,
14255,,,UNKNOWN,,,,,U,,
14256,,,UNKNOWN,,,,,U,,
14257,,,UNKNOWN,,,,,U,,
14258,,,UNKNOWN,,,,,U,,
14259,,,UNKNOWN,,,,,U,,
14260,,,UNKNOWN,,,,,U,,
14261,,,UNKNOWN,,,,,U,,
14262,,,UNKNOWN,,,,,U,,
14263,,,UNKNOWN,,,,,U,,
14264,,,UNKNOWN,,,,,U,,
14265,,,UNKNOWN,,,,,U,,
14266,,,UNKNOWN,,,,,U,,
14267,,,UNKNOWN,,,,,U,,
14268,,,UNKNOWN,,,,,U,,
14269,,,UNKNOWN,,,,,U,,
14270,,,UNKNOWN,,,,,U,,
14271,,,UNKNOWN,,,,,U,,
14272,,,UNKNOWN,,,,,U,,
14273,,,UNKNOWN,,,,,U,,
14274,,,UNKNOWN,,,,,U,,
14275,,,UNKNOWN,,,,,U,,
14276,,,UNKNOWN,,,,,U,,
14277,,,UNKNOWN,,,,,U,,
14278,,,UNKNOWN,,,,,U,,
14279,,,UNKNOWN,,,,,U,,
14280,,,UNKNOWN,,,,,U,,
14281,,,UNKNOWN,,,,,U,,
14282,,,UNKNOWN,,,,,U,,
14283,,,UNKNOWN,,,,,U,,
14284,,,UNKNOWN,,,,,U,,
14285,,,UNKNOWN,,,,,U,,
14286,,,UNKNOWN,,,,,U,,
14287,,,UNKNOWN,,,,,U,,
14288,,,UNKNOWN,,,,,U,,
14289,,,UNKNOWN,,,,,U,,
14290,,,UNKNOWN,,,,,U,,
14291,,,UNKNOWN,,,,,U,,
14292,,,UNKNOWN,,,,,U,,
14293,,,UNKNOWN,,,,,U,,
14294,,,UNKNOWN,,,,,U,,
14295,,,UNKNOWN,,,,,U,,
14296,,,UNKNOWN,,,,,U,,
14297,,,UNKNOWN,,,,,U,,
14298,,,UNKNOWN,,,,,U,,
14299,,,UNKNOWN,,,,,U,,
14300,,,UNKNOWN,,,,,U,,
14301,,,UNKNOWN,,,,,U,,
14302,,,UNKNOWN,,,,,U,,
14303,,,UNKNOWN,,,,,U,,
14304,,,UNKNOWN,,,,,U,,
14305,,,UNKNOWN,,,,,U,,
14306,,,UNKNOWN,,,,,U,,
14307,,,UNKNOWN,,,,,U,,
14308,,,UNKNOWN,,,,,U,,
14309,,,UNKNOWN,,,,,U,,
14310,,,UNKNOWN,,,,,U,,
14311,,,UNKNOWN,,,,,U,,
14312,,,UNKNOWN,,,,,U,,
14313,,,UNKNOWN,,,,,U,,
14314,,,UNKNOWN,,,,,U,,
14315,,,UNKNOWN,,,,,U,,
14316,,,UNKNOWN,,,,,U,,
14317,,,UNKNOWN,,,,,U,,
14318,,,UNKNOWN,,,,,U,,
14319,,,UNKNOWN,,,,,U,,
14320,,,UNKNOWN,,,,,U,,
14321,,,UNKNOWN,,,,,U,,
14322,,,UNKNOWN,,,,,U,,
14323,,,UNKNOWN,,,,,U,,
14324,,,UNKNOWN,,,,,U,,
14325,,,UNKNOWN,,,,,U,,
14326,,,UNKNOWN,,,,,U,,
14327,,,UNKNOWN,,,,,U,,
14328,,,UNKNOWN,,,,,U,,
14329,,,UNKNOWN,,,,,U,,
14330,,,UNKNOWN,,,,,U,,
14331,,,UNKNOWN,,,,,U,,
14332,,,UNKNOWN,,,,,U,,
14333,,,UNKNOWN,,,,,U,,
14334,,,UNKNOWN,,,,,U,,
14335,,,UNKNOWN,,,,,U,,
14336,,,UNKNOWN,,,,,U,,
14337,,,UNKNOWN,,,,,U,,
14338,,,UNKNOWN,,,,,U,,
14339,,,UNKNOWN,,,,,U,,
14340,,,UNKNOWN,,,,,U,,
14341,,,UNKNOWN,,,,,U,,
14342,,,UNKNOWN,,,,,U,,
14343,,,UNKNOWN,,,,,U,,
14344,,,UNKNOWN,,,,,U,,
14345,,,UNKNOWN,,,,,U,,
14346,,,UNKNOWN,,,,,U,,
14347,,,UNKNOWN,,,,,U,,
14348,,,UNKNOWN,,,,,U,,
14349,,,UNKNOWN,,,,,U,,
14350,,,UNKNOWN,,,,,U,,
14351,,,UNKNOWN,,,,,U,,
14352,,,UNKNOWN,,,,,U,,
14353,,,UNKNOWN,,,,,U,,
14354,,,UNKNOWN,,,,,U,,
14355,,,UNKNOWN,,,,,U,,
14356,,,UNKNOWN,,,,,U,,
14357,,,UNKNOWN,,,,,U,,
14358,,,UNKNOWN,,,,,U,,
14359,,,UNKNOWN,,,,,U,,
14360,,,UNKNOWN,,,,,U,,
14361,,,UNKNOWN,,,,,U,,
14362,,,UNKNOWN,,,,,U,,
14363,,,UNKNOWN,,,,,U,,
14364,,,UNKNOWN,,,,,U,,
14365,,,UNKNOWN,,,,,U,,
14366,,,UNKNOWN,,,,,U,,
14367,,,UNKNOWN,,,,,U,,
14368,,,UNKNOWN,,,,,U,,
14369,,,UNKNOWN,,,,,U,,
14370,,,UNKNOWN,,,,,U,,
14371,,,UNKNOWN,,,,,U,,
14372,,,UNKNOWN,,,,,U,,
14373,,,UNKNOWN,,,,,U,,
14374,,,UNKNOWN,,,,,U,,
14375,,,UNKNOWN,,,,,U,,
14376,,,UNKNOWN,,,,,U,,
14377,,,UNKNOWN,,,,,U,,
14378,,,UNKNOWN,,,,,U,,
14379,,,UNKNOWN,,,,,U,,
14380,,,UNKNOWN,,,,,U,,
14381,,,UNKNOWN,,,,,U,,
14382,,,UNKNOWN,,,,,U,,
14383,,,UNKNOWN,,,,,U,,
14384,,,UNKNOWN,,,,,U,,
14385,,,UNKNOWN,,,,,U,,
14386,,,UNKNOWN,,,,,U,,
14387,,,UNKNOWN,,,,,U,,
14388,,,UNKNOWN,,,,,U,,
14389,,,UNKNOWN,,,,,U,,
14390,,,UNKNOWN,,,,,U,,
14391,,,UNKNOWN,,,,,U,,
14392,,,UNKNOWN,,,,,U,,
14393,,,UNKNOWN,,,,,U,,
14394,,,UNKNOWN,,,,,U,,
14395,,,UNKNOWN,,,,,U,,
14396,,,UNKNOWN,,,,,U,,
14397,,,UNKNOWN,,,,,U,,
14398,,,UNKNOWN,,,,,U,,
14399,,,UNKNOWN,,,,,U,,
14400,,,UNKNOWN,,,,,U,,
14401,,,UNKNOWN,,,,,U,,
14402,,,UNKNOWN,,,,,U,,
14403,,,UNKNOWN,,,,,U,,
14404,,,UNKNOWN,,,,,U,,
14405,,,UNKNOWN,,,,,U,,
14406,,,UNKNOWN,,,,,U,,
14407,,,UNKNOWN,,,,,U,,
14408,,,UNKNOWN,,,,,U,,
14409,,,UNKNOWN,,,,,U,,
14410,,,UNKNOWN,,,,,U,,
14411,,,UNKNOWN,,,,,U,,
14412,,,UNKNOWN,,,,,U,,
14413,,,UNKNOWN,,,,,U,,
14414,,,UNKNOWN,,,,,U,,
14415,,,UNKNOWN,,,,,U,,
14416,,,UNKNOWN,,,,,U,,
14417,,,UNKNOWN,,,,,U,,
14418,,,UNKNOWN,,,,,U,,
14419,,,UNKNOWN,,,,,U,,
14420,,,UNKNOWN,,,,,U,,
14421,,,UNKNOWN,,,,,U,,
14422,,,UNKNOWN,,,,,U,,
14423,,,UNKNOWN,,,,,U,,
14424,,,UNKNOWN,,,,,U,,
14425,,,UNKNOWN,,,,,U,,
14426,,,UNKNOWN,,,,,U,,
14427,,,UNKNOWN,,,,,U,,
14428,,,UNKNOWN,,,,,U,,
14429,,,UNKNOWN,,,,,U,,
14430,,,UNKNOWN,,,,,U,,
14431,,,UNKNOWN,,,,,U,,
14432,,,UNKNOWN,,,,,U,,
14433,,,UNKNOWN,,,,,U,,
14434,,,UNKNOWN,,,,,U,,
14435,,,UNKNOWN,,,,,U,,
14436,,,UNKNOWN,,,,,U,,
14437,,,UNKNOWN,,,,,U,,
14438,,,UNKNOWN,,,,,U,,
14439,,,UNKNOWN,,,,,U,,
14440,,,UNKNOWN,,,,,U,,
14441,,,UNKNOWN,,,,,U,,
14442,,,UNKNOWN,,,,,U,,
14443,,,UNKNOWN,,,,,U,,
14444,,,UNKNOWN,,,,,U,,
14445,,,UNKNOWN,,,,,U,,
14446,,,UNKNOWN,,,,,U,,
14447,,,UNKNOWN,,,,,U,,
14448,,,UNKNOWN,,,,,U,,
14449,,,UNKNOWN,,,,,U,,
14450,,,UNKNOWN,,,,,U,,
14451,,,UNKNOWN,,,,,U,,
14452,,,UNKNOWN,,,,,U,,
14453,,,UNKNOWN,,,,,U,,
14454,,,UNKNOWN,,,,,U,,
14455,,,UNKNOWN,,,,,U,,
14456,,,UNKNOWN,,,,,U,,
14457,,,UNKNOWN,,,,,U,,
14458,,,UNKNOWN,,,,,U,,
14459,,,UNKNOWN,,,,,U,,
14460,,,UNKNOWN,,,,,U,,
14461,,,UNKNOWN,,,,,U,,
14462,,,UNKNOWN,,,,,U,,
14463,,,UNKNOWN,,,,,U,,
14464,,,UNKNOWN,,,,,U,,
14465,,,UNKNOWN,,,,,U,,
14466,,,UNKNOWN,,,,,U,,
14467,,,UNKNOWN,,,,,U,,
14468,,,UNKNOWN,,,,,U,,
14469,,,UNKNOWN,,,,,U,,
14470,,,UNKNOWN,,,,,U,,
14471,,,UNKNOWN,,,,,U,,
14472,,,UNKNOWN,,,,,U,,
14473,,,UNKNOWN,,,,,U,,
14474,,,UNKNOWN,,,,,U,,
14475,,,UNKNOWN,,,,,U,,
14476,,,UNKNOWN,,,,,U,,
14477,,,UNKNOWN,,,,,U,,
14478,,,UNKNOWN,,,,,U,,
